year,profit_per_gambler,visits_per_gambler,ruin_events_per_gambler,active_share_year_end
190,1170.4572,3.23124,0.004390,0.816474
191,1170.1879,3.22913,0.004301,0.816370
192,1171.5819,3.23000,0.004250,0.816266
193,1170.8232,3.22879,0.004420,0.816088
194,1171.5949,3.23212,0.004131,0.816005
195,1170.1402,3.22969,0.004255,0.815896
196,1170.3040,3.22915,0.004188,0.815816
197,1170.6255,3.22923,0.003957,0.815738
198,1169.6377,3.22739,0.003976,0.815647
199,1169.2401,3.22867,0.003899,0.815593
200,1168.9862,3.22693,0.003770,0.815469
201,1168.5988,3.22716,0.003916,0.815332
202,1168.2963,3.22489,0.003626,0.815287
203,1166.9445,3.22384,0.003799,0.815193
204,1168.6356,3.22762,0.003873,0.815138
205,1168.3260,3.22492,0.003775,0.815011
206,1167.6322,3.22416,0.003675,0.814918
207,1166.6581,3.22485,0.003579,0.814844
208,1168.1925,3.22565,0.003702,0.814790
209,1165.7333,3.22411,0.003569,0.814743
210,1168.1251,3.22410,0.003412,0.814626
211,1165.5687,3.22016,0.003457,0.814553
212,1167.0939,3.22229,0.003505,0.814470
213,1165.8140,3.22089,0.003595,0.814351
214,1165.6620,3.21993,0.003539,0.814234
215,1166.0510,3.22119,0.003490,0.814105
216,1166.5778,3.21988,0.003334,0.814048
217,1165.0316,3.21872,0.003417,0.813952
218,1164.9599,3.22152,0.003308,0.813904
219,1164.6025,3.22025,0.003210,0.813805
220,1164.0713,3.21638,0.003203,0.813729
221,1164.7476,3.21819,0.003151,0.813656
222,1164.9042,3.21942,0.003313,0.813631
223,1163.4574,3.21646,0.003237,0.813532
224,1164.0112,3.21688,0.003061,0.813385
225,1162.3464,3.21550,0.002987,0.813320
226,1164.0277,3.21803,0.003100,0.813287
227,1163.7522,3.21668,0.003089,0.813190
228,1162.8580,3.21292,0.003085,0.813084
229,1163.7541,3.21577,0.002939,0.813015
230,1163.0324,3.21488,0.003002,0.812885
231,1161.1832,3.21175,0.002973,0.812859
232,1162.0910,3.21233,0.002974,0.812776
233,1161.9814,3.21241,0.002899,0.812696
234,1161.5967,3.21345,0.002853,0.812590
